;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:48:12 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14171000 MARYS RIVER NEAR PHILOMATH, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14171000
;#            TS   parameter     Description
;#        117041       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;#    92  Daily mean calculated from data on this day matches published daily mean within 5 percent
;#    93  Daily mean calculated from data on this day matches published daily mean within 10 percent
;# 
;USGS 14171000_flow_MARYS RIVER NEAR PHILOMATH, OR_23762895 
day_index,Q_cfs,Year,Month,Day,Quality
36798,17.065217,2000,10,1,A
36799,19.477273,2000,10,2,A
36800,26.130435,2000,10,3,A
36801,21.750000,2000,10,4,A
36802,18.195652,2000,10,5,A
36803,16.318182,2000,10,6,A
36804,16.130435,2000,10,7,A
36805,17.659091,2000,10,8,A
36806,28.695652,2000,10,9,A
36807,36.818182,2000,10,10,A
36808,45.434783,2000,10,11,A
36809,34.590909,2000,10,12,A
36810,30.891304,2000,10,13,A
36811,25.431818,2000,10,14,A
36812,21.695652,2000,10,15,A
36813,21.681818,2000,10,16,A
36814,20.586957,2000,10,17,A
36815,22.772727,2000,10,18,A
36816,24.391304,2000,10,19,A
36817,39.045455,2000,10,20,A
36818,55.847826,2000,10,21,A
36819,57.113636,2000,10,22,A
36820,42.586957,2000,10,23,A
36821,34.431818,2000,10,24,A
36822,29.782609,2000,10,25,A
36823,28.090909,2000,10,26,A
36824,27.847826,2000,10,27,A
36825,48.977273,2000,10,28,A
36826,63.086957,2000,10,29,A
36827,66.431818,2000,10,30,A
36828,52.130435,2000,10,31,A
36829,46.318182,2000,11,1,A
36830,54.065217,2000,11,2,A
36831,47.386364,2000,11,3,A
36832,45.934783,2000,11,4,A
36833,42.022727,2000,11,5,A
36834,42.760870,2000,11,6,A
36835,42.363636,2000,11,7,A
