;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 13:45:40 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14211499 KELLEY CREEK AT SE 159TH DRIVE AT PORTLAND, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14211499
;#            TS   parameter     Description
;#        117329       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;#    92  Daily mean calculated from data on this day matches published daily mean within 5 percent
;#    93  Daily mean calculated from data on this day matches published daily mean within 10 percent
;# 
;USGS 14211499_flow_KELLEY CREEK AT SE 159TH DRIVE AT PORTLAND, OR_23815128 
day_index,Q_cfs,Year,Month,Day,Quality
36594,8.604167,2000,3,11,A
36595,6.756250,2000,3,12,A
36596,9.141667,2000,3,13,A
36597,11.672917,2000,3,14,A
36598,8.210417,2000,3,15,A
36599,24.770833,2000,3,16,A
36600,12.083333,2000,3,17,A
36601,13.645833,2000,3,18,A
36602,15.020833,2000,3,19,A
36603,12.375000,2000,3,20,A
36604,9.527083,2000,3,21,A
36605,20.527083,2000,3,22,A
36606,15.791667,2000,3,23,A
36607,11.308333,2000,3,24,A
36608,8.645833,2000,3,25,A
36609,6.991667,2000,3,26,A
36610,6.677083,2000,3,27,A
36611,6.262500,2000,3,28,A
36612,5.070833,2000,3,29,A
36613,4.372917,2000,3,30,A
36614,3.756250,2000,3,31,A
36615,3.558333,2000,4,1,A
36616,3.121739,2000,4,2,A
36617,3.118750,2000,4,3,A
36618,3.452083,2000,4,4,A
36619,3.093750,2000,4,5,A
36620,2.852083,2000,4,6,A
36621,2.858333,2000,4,7,A
36622,2.462500,2000,4,8,A
36623,2.250000,2000,4,9,A
36624,2.190625,2000,4,10,A
36625,2.032292,2000,4,11,A
36626,1.962500,2000,4,12,A
36627,8.658333,2000,4,13,A
36628,5.857292,2000,4,14,A
36629,6.384375,2000,4,15,A
36630,4.969792,2000,4,16,A
36631,4.087500,2000,4,17,A
36632,3.379167,2000,4,18,A
36633,2.802151,2000,4,19,A
36634,2.573958,2000,4,20,A
36635,2.406250,2000,4,21,A
36636,2.698958,2000,4,22,A
36637,2.965625,2000,4,23,A
36638,2.450000,2000,4,24,A
36639,5.045833,2000,4,25,A
36640,3.133333,2000,4,26,A
36641,2.773958,2000,4,27,A
36642,2.965625,2000,4,28,A
36643,2.994792,2000,4,29,A
36644,2.442708,2000,4,30,A
36645,2.218750,2000,5,1,A
36646,2.368750,2000,5,2,A
36647,3.303125,2000,5,3,A
36648,2.938542,2000,5,4,A
36649,4.752083,2000,5,5,A
36650,3.326042,2000,5,6,A
36651,2.467708,2000,5,7,A
36652,2.481250,2000,5,8,A
36653,4.122917,2000,5,9,A
36654,21.900000,2000,5,10,A
36655,18.083333,2000,5,11,A
36656,9.442708,2000,5,12,A
36657,6.477083,2000,5,13,A
36658,4.855208,2000,5,14,A
36659,4.328125,2000,5,15,A
36660,3.296875,2000,5,16,A
36661,2.587500,2000,5,17,A
36662,2.436458,2000,5,18,A
36663,2.552083,2000,5,19,A
36664,2.041667,2000,5,20,A
36665,1.719792,2000,5,21,A
36666,1.556250,2000,5,22,A
36667,1.363542,2000,5,23,A
36668,1.193958,2000,5,24,A
36669,1.097083,2000,5,25,A
36670,1.293750,2000,5,26,A
36671,1.547708,2000,5,27,A
36672,1.122917,2000,5,28,A
36673,1.021250,2000,5,29,A
36674,1.106354,2000,5,30,A
36675,1.071875,2000,5,31,A
36676,0.961250,2000,6,1,A
36677,0.900937,2000,6,2,A
36678,0.811250,2000,6,3,A
36679,0.814167,2000,6,4,A
36680,0.782812,2000,6,5,A
36681,0.751458,2000,6,6,A
36682,1.101458,2000,6,7,A
36683,0.798854,2000,6,8,A
36684,1.204375,2000,6,9,A
36685,0.998125,2000,6,10,A
36686,2.043333,2000,6,11,A
36687,4.802083,2000,6,12,A
36688,1.779167,2000,6,13,A
36689,1.225000,2000,6,14,A
36690,1.094687,2000,6,15,A
36691,0.852813,2000,6,16,A
36692,0.811979,2000,6,17,A
36693,0.760937,2000,6,18,A
36694,0.646458,2000,6,19,A
36695,0.626979,2000,6,20,A
36696,0.668438,2000,6,21,A
36697,0.570417,2000,6,22,A
36698,0.569579,2000,6,23,A
36699,0.551771,2000,6,24,A
36700,0.489687,2000,6,25,A
36701,0.422708,2000,6,26,A
36702,0.555833,2000,6,27,A
36703,0.556250,2000,6,28,A
36704,0.486979,2000,6,29,A
36705,0.511354,2000,6,30,A
36706,0.456250,2000,7,1,A
36707,0.408854,2000,7,2,A
36708,0.459375,2000,7,3,A
36709,0.489479,2000,7,4,A
36710,0.453125,2000,7,5,A
36711,0.501146,2000,7,6,A
36712,0.475208,2000,7,7,A
36713,0.692396,2000,7,8,A
36714,0.422083,2000,7,9,A
36715,0.378437,2000,7,10,A
36716,0.445208,2000,7,11,A
36717,0.388125,2000,7,12,A
36718,0.393958,2000,7,13,A
36719,0.470417,2000,7,14,A
36720,0.408333,2000,7,15,A
36721,0.404792,2000,7,16,A
36722,0.354167,2000,7,17,A
36723,0.415625,2000,7,18,A
36724,0.534479,2000,7,19,A
36725,0.356042,2000,7,20,A
36726,0.444896,2000,7,21,A
36727,0.356250,2000,7,22,A
36728,0.329479,2000,7,23,A
36729,0.342917,2000,7,24,A
36730,0.371667,2000,7,25,A
36731,0.452396,2000,7,26,A
36732,0.545312,2000,7,27,A
36733,0.364375,2000,7,28,A
36734,0.328229,2000,7,29,A
36735,0.322500,2000,7,30,A
36736,0.364167,2000,7,31,A
36737,0.357500,2000,8,1,A
