;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-15 18:54:29 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14187600 LEBANON SANTIAM CANAL NEAR LEBANON, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14187600
;#            TS   parameter     Description
;#        117140       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;#    92  Daily mean calculated from data on this day matches published daily mean within 5 percent
;# 
;USGS 14187600_flow_LEBANON SANTIAM CANAL NEAR LEBANON, OR_ 
day_index,Q_cfs,Year,Month,Day,Quality
36524,52.333333,2000,1,1,A
36525,53.604167,2000,1,2,A
36526,59.479167,2000,1,3,A
36527,75.729167,2000,1,4,A
36528,75.708333,2000,1,5,A
36529,64.333333,2000,1,6,A
36530,62.541667,2000,1,7,A
36531,62.770833,2000,1,8,A
36532,70.229167,2000,1,9,A
36533,66.479167,2000,1,10,A
36534,53.229167,2000,1,11,A
36535,48.333333,2000,1,12,A
36536,49.395833,2000,1,13,A
36537,46.875000,2000,1,14,A
36538,45.416667,2000,1,15,A
36539,43.625000,2000,1,16,A
36540,52.583333,2000,1,17,A
36541,62.333333,2000,1,18,A
36542,61.354167,2000,1,19,A
36543,60.479167,2000,1,20,A
36544,60.333333,2000,1,21,A
36545,59.479167,2000,1,22,A
36546,58.145833,2000,1,23,A
36547,60.895833,2000,1,24,A
36548,63.333333,2000,1,25,A
36549,62.729167,2000,1,26,A
36550,61.458333,2000,1,27,A
36551,59.875000,2000,1,28,A
36552,54.041667,2000,1,29,A
36553,49.437500,2000,1,30,A
36554,44.687500,2000,1,31,A
36555,54.541667,2000,2,1,A
36556,73.562500,2000,2,2,A
36557,73.333333,2000,2,3,A
36558,69.000000,2000,2,4,A
36559,60.833333,2000,2,5,A
36560,60.583333,2000,2,6,A
36561,64.687500,2000,2,7,A
36562,72.916667,2000,2,8,A
36563,74.166667,2000,2,9,A
36564,68.312500,2000,2,10,A
36565,66.541667,2000,2,11,A
36566,68.750000,2000,2,12,A
36567,71.187500,2000,2,13,A
36568,67.854167,2000,2,14,A
36569,64.791667,2000,2,15,A
36570,68.354167,2000,2,16,A
36571,75.187500,2000,2,17,A
36572,70.770833,2000,2,18,A
36573,62.125000,2000,2,19,A
36574,58.208333,2000,2,20,A
36575,58.208333,2000,2,21,A
36576,62.750000,2000,2,22,A
36577,64.083333,2000,2,23,A
36578,59.083333,2000,2,24,A
36579,58.541667,2000,2,25,A
36580,66.750000,2000,2,26,A
36581,77.458333,2000,2,27,A
36582,73.166667,2000,2,28,A
36583,71.166667,2000,2,29,A
36584,66.416667,2000,3,1,A
36585,68.541667,2000,3,2,A
36586,63.958333,2000,3,3,A
36587,61.854167,2000,3,4,A
36588,62.312500,2000,3,5,A
36589,66.687500,2000,3,6,A
36590,71.708333,2000,3,7,A
36591,70.270833,2000,3,8,A
36592,69.708333,2000,3,9,A
36593,66.208333,2000,3,10,A
36594,69.291667,2000,3,11,A
36595,70.645833,2000,3,12,A
36596,70.354167,2000,3,13,A
36597,68.666667,2000,3,14,A
36598,66.708333,2000,3,15,A
36599,73.104167,2000,3,16,A
36600,74.645833,2000,3,17,A
36601,70.958333,2000,3,18,A
36602,74.937500,2000,3,19,A
36603,77.979167,2000,3,20,A
36604,81.125000,2000,3,21,A
36605,75.354167,2000,3,22,A
36606,71.229167,2000,3,23,A
36607,71.875000,2000,3,24,A
36608,69.458333,2000,3,25,A
36609,66.750000,2000,3,26,A
36610,67.729167,2000,3,27,A
36611,62.625000,2000,3,28,A
36612,57.312500,2000,3,29,A
36613,63.979167,2000,3,30,A
36614,75.020833,2000,3,31,A
36615,70.833333,2000,4,1,A
36616,70.000000,2000,4,2,A
36617,70.000000,2000,4,3,A
36618,74.229167,2000,4,4,A
36619,72.958333,2000,4,5,A
36620,79.666667,2000,4,6,A
36621,83.229167,2000,4,7,A
36622,76.687500,2000,4,8,A
36623,75.416667,2000,4,9,A
36624,80.479167,2000,4,10,A
36625,89.625000,2000,4,11,A
36626,89.333333,2000,4,12,A
36627,83.770833,2000,4,13,A
36628,74.645833,2000,4,14,A
36629,76.479167,2000,4,15,A
36630,74.750000,2000,4,16,A
36631,73.354167,2000,4,17,A
36632,72.020833,2000,4,18,A
36633,69.750000,2000,4,19,A
36634,72.604167,2000,4,20,A
36635,74.229167,2000,4,21,A
36636,74.854167,2000,4,22,A
36637,76.145833,2000,4,23,A
36638,82.750000,2000,4,24,A
36639,82.958333,2000,4,25,A
36640,83.625000,2000,4,26,A
36641,85.187500,2000,4,27,A
36642,82.416667,2000,4,28,A
36643,84.000000,2000,4,29,A
36644,82.750000,2000,4,30,A
36645,88.500000,2000,5,1,A
36646,84.229167,2000,5,2,A
36647,76.833333,2000,5,3,A
36648,77.270833,2000,5,4,A
36649,69.791667,2000,5,5,A
36650,77.375000,2000,5,6,A
36651,81.937500,2000,5,7,A
36652,73.083333,2000,5,8,A
36653,73.000000,2000,5,9,A
36654,82.958333,2000,5,10,A
36655,80.250000,2000,5,11,A
36656,85.437500,2000,5,12,A
36657,78.375000,2000,5,13,A
36658,75.833333,2000,5,14,A
36659,79.312500,2000,5,15,A
36660,82.666667,2000,5,16,A
36661,79.166667,2000,5,17,A
36662,78.479167,2000,5,18,A
36663,78.583333,2000,5,19,A
36664,76.104167,2000,5,20,A
36665,72.458333,2000,5,21,A
36666,69.875000,2000,5,22,A
36667,66.041667,2000,5,23,A
36668,66.187500,2000,5,24,A
36669,64.104167,2000,5,25,A
36670,64.000000,2000,5,26,A
36671,63.645833,2000,5,27,A
36672,63.791667,2000,5,28,A
36673,62.916667,2000,5,29,A
36674,76.354167,2000,5,30,A
36675,86.229167,2000,5,31,A
36676,83.750000,2000,6,1,A
