;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 13:46:37 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14211720 WILLAMETTE RIVER AT PORTLAND, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14211720
;#            TS   parameter     Description
;#        117345       00060     Discharge, cubic feet per second
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;#     e  Value has been estimated.
;#    91  Daily mean calculated from data on this day matches published daily mean within 1 percent
;# 
;USGS 14211720_flow_WILLAMETTE RIVER AT PORTLAND, OR_23815040 
day_index,Q_cfs,Year,Month,Day,Quality
37712,51906.250000,2003,4,3,A
37713,47743.750000,2003,4,4,A
37714,50806.250000,2003,4,5,A
37715,47080.434783,2003,4,6,A
37716,51958.333333,2003,4,7,A
37717,52045.833333,2003,4,8,A
37718,48793.750000,2003,4,9,A
37719,46887.500000,2003,4,10,A
37720,45460.416667,2003,4,11,A
37721,49997.916667,2003,4,12,A
37722,55081.250000,2003,4,13,A
37723,59793.750000,2003,4,14,A
37724,59435.416667,2003,4,15,A
37725,53520.833333,2003,4,16,A
37726,53533.333333,2003,4,17,A
37727,46550.000000,2003,4,18,A
37728,0.000000,2003,4,19,Missing
37729,0.000000,2003,4,20,Missing
37730,39962.500000,2003,4,21,A
37731,37781.250000,2003,4,22,A
37732,42316.666667,2003,4,23,A
37733,0.000000,2003,4,24,Missing
37734,0.000000,2003,4,25,Missing
37735,54962.500000,2003,4,26,A
37736,51329.166667,2003,4,27,A
37737,46056.250000,2003,4,28,A
37738,39233.333333,2003,4,29,A
37739,36047.916667,2003,4,30,A
37740,32356.250000,2003,5,1,A
37741,31527.083333,2003,5,2,A
37742,31645.833333,2003,5,3,A
37743,33014.583333,2003,5,4,A
37744,27679.166667,2003,5,5,A
37745,30039.583333,2003,5,6,A
37746,29170.833333,2003,5,7,A
37747,29610.416667,2003,5,8,A
37748,24189.583333,2003,5,9,A
37749,25675.000000,2003,5,10,A
37750,25185.416667,2003,5,11,A
37751,0.000000,2003,5,12,Missing
37752,0.000000,2003,5,13,Missing
37753,0.000000,2003,5,14,Missing
37754,0.000000,2003,5,15,Missing
37755,0.000000,2003,5,16,Missing
37756,0.000000,2003,5,17,Missing
37757,0.000000,2003,5,18,Missing
37758,0.000000,2003,5,19,Missing
37759,0.000000,2003,5,20,Missing
37760,0.000000,2003,5,21,Missing
37761,0.000000,2003,5,22,Missing
37762,0.000000,2003,5,23,Missing
37763,0.000000,2003,5,24,Missing
37764,0.000000,2003,5,25,Missing
37765,0.000000,2003,5,26,Missing
