;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:14:53 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14187200 SOUTH SANTIAM RIVER NEAR FOSTER, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14187200
;#            TS   parameter     Description
;#        117129       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14187200_temp_SOUTH SANTIAM RIVER NEAR FOSTER, OR_23785717 
day_index,temp_C,Year,Month,Day,Quality
39354,13.392105,2007,10,1,A
39355,13.310084,2007,10,2,A
39356,13.018261,2007,10,3,A
39357,12.613889,2007,10,4,A
39358,12.357391,2007,10,5,A
39359,12.591129,2007,10,6,A
39360,12.815873,2007,10,7,A
39361,12.752143,2007,10,8,A
39362,12.558088,2007,10,9,A
39363,12.515833,2007,10,10,A
39364,12.526718,2007,10,11,A
39365,12.175573,2007,10,12,A
39366,12.173333,2007,10,13,A
39367,12.107874,2007,10,14,A
39368,12.206977,2007,10,15,A
39369,11.968868,2007,10,16,A
39370,11.653043,2007,10,17,A
39371,11.795536,2007,10,18,A
39372,11.200877,2007,10,19,A
39373,10.355932,2007,10,20,A
39374,10.441772,2007,10,21,A
39375,10.682738,2007,10,22,A
39376,10.547561,2007,10,23,A
39377,10.787234,2007,10,24,A
39378,10.302239,2007,10,25,A
39379,10.129268,2007,10,26,A
39380,10.114876,2007,10,27,A
39381,10.256800,2007,10,28,A
39382,10.357143,2007,10,29,A
39383,10.245333,2007,10,30,A
39384,10.218519,2007,10,31,A
39385,10.163571,2007,11,1,A
39386,10.050820,2007,11,2,A
39387,10.100769,2007,11,3,A
39388,10.161719,2007,11,4,A
39389,10.305600,2007,11,5,A
39390,10.281102,2007,11,6,A
39391,10.253846,2007,11,7,A
39392,10.220896,2007,11,8,A
39393,10.429323,2007,11,9,A
39394,10.464228,2007,11,10,A
39395,10.568702,2007,11,11,A
39396,10.384127,2007,11,12,A
39397,9.739231,2007,11,13,A
39398,9.647794,2007,11,14,A
39399,10.238655,2007,11,15,A
39400,10.513846,2007,11,16,A
39401,10.208130,2007,11,17,A
39402,9.353793,2007,11,18,A
39403,8.393043,2007,11,19,A
39404,8.146094,2007,11,20,A
39405,7.819355,2007,11,21,A
39406,7.515385,2007,11,22,A
39407,7.505385,2007,11,23,A
39408,7.586232,2007,11,24,A
39409,7.634400,2007,11,25,A
39410,7.517886,2007,11,26,A
39411,7.679528,2007,11,27,A
39412,7.562308,2007,11,28,A
39413,7.607813,2007,11,29,A
39414,7.437398,2007,11,30,A
39415,7.391870,2007,12,1,A
39416,7.274615,2007,12,2,A
39417,8.102459,2007,12,3,A
39418,8.354264,2007,12,4,A
39419,8.148739,2007,12,5,A
39420,8.017241,2007,12,6,A
39421,7.724074,2007,12,7,A
39422,7.300775,2007,12,8,A
39423,6.870769,2007,12,9,A
39424,6.872093,2007,12,10,A
39425,0.000000,2007,12,11,Missing
39426,0.000000,2007,12,12,Missing
39427,6.727778,2007,12,13,A
39428,6.757031,2007,12,14,A
39429,6.985827,2007,12,15,A
39430,6.753226,2007,12,16,A
39431,6.711504,2007,12,17,A
39432,6.819355,2007,12,18,A
39433,6.787097,2007,12,19,A
39434,6.492437,2007,12,20,A
39435,6.288430,2007,12,21,A
39436,6.272143,2007,12,22,A
39437,6.884167,2007,12,23,A
39438,6.570149,2007,12,24,A
39439,6.120635,2007,12,25,A
39440,5.919417,2007,12,26,A
39441,5.727083,2007,12,27,A
39442,5.890000,2007,12,28,A
39443,6.036364,2007,12,29,A
39444,5.813934,2007,12,30,A
39445,5.340909,2007,12,31,A
39446,5.313043,2008,1,1,A
39447,5.495489,2008,1,2,A
39448,5.854264,2008,1,3,A
39449,6.076923,2008,1,4,A
39450,5.563366,2008,1,5,A
39451,5.244118,2008,1,6,A
39452,5.215888,2008,1,7,A
39453,5.380769,2008,1,8,A
39454,5.518657,2008,1,9,A
39455,6.072727,2008,1,10,A
39456,6.358065,2008,1,11,A
39457,6.372656,2008,1,12,A
39458,6.008000,2008,1,13,A
39459,5.777344,2008,1,14,A
39460,5.332558,2008,1,15,A
39461,4.691667,2008,1,16,A
39462,4.600000,2008,1,17,A
39463,4.672727,2008,1,18,A
39464,4.745522,2008,1,19,A
39465,4.958209,2008,1,20,A
39466,4.256738,2008,1,21,A
39467,3.878295,2008,1,22,A
39468,3.741322,2008,1,23,A
39469,3.615625,2008,1,24,A
39470,3.635878,2008,1,25,A
39471,3.828571,2008,1,26,A
39472,3.754783,2008,1,27,A
39473,3.970476,2008,1,28,A
39474,3.983929,2008,1,29,A
39475,3.987402,2008,1,30,A
39476,4.458779,2008,1,31,A
39477,4.636842,2008,2,1,A
39478,4.558036,2008,2,2,A
39479,4.749587,2008,2,3,A
39480,4.732479,2008,2,4,A
39481,4.709859,2008,2,5,A
39482,4.824800,2008,2,6,A
39483,5.142767,2008,2,7,A
39484,5.361494,2008,2,8,A
39485,5.604000,2008,2,9,A
39486,5.734270,2008,2,10,A
39487,5.598225,2008,2,11,A
39488,5.672571,2008,2,12,A
39489,5.670175,2008,2,13,A
39490,5.249718,2008,2,14,A
39491,5.453448,2008,2,15,A
39492,5.590286,2008,2,16,A
39493,5.291111,2008,2,17,A
39494,5.271348,2008,2,18,A
39495,5.482222,2008,2,19,A
39496,6.073864,2008,2,20,A
39497,5.851553,2008,2,21,A
39498,5.781609,2008,2,22,A
39499,5.624375,2008,2,23,A
39500,5.986782,2008,2,24,A
39501,6.274286,2008,2,25,A
39502,5.978286,2008,2,26,A
39503,6.294915,2008,2,27,A
39504,6.211111,2008,2,28,A
39505,6.587006,2008,2,29,A
39506,6.179651,2008,3,1,A
39507,6.013253,2008,3,2,A
39508,5.864804,2008,3,3,A
39509,6.174719,2008,3,4,A
39510,5.767614,2008,3,5,A
39511,5.973446,2008,3,6,A
39512,6.173529,2008,3,7,A
39513,6.686294,2008,3,8,A
39514,6.580769,2008,3,9,A
39515,7.131792,2008,3,10,A
39516,7.007500,2008,3,11,A
39517,6.753179,2008,3,12,A
39518,6.672109,2008,3,13,A
39519,6.434091,2008,3,14,A
39520,6.177600,2008,3,15,A
39521,6.142342,2008,3,16,A
39522,6.078417,2008,3,17,A
39523,6.393220,2008,3,18,A
39524,6.023392,2008,3,19,A
39525,6.010204,2008,3,20,A
39526,5.885430,2008,3,21,A
39527,5.966860,2008,3,22,A
39528,6.275000,2008,3,23,A
39529,6.201807,2008,3,24,A
39530,5.851220,2008,3,25,A
39531,5.756463,2008,3,26,A
39532,5.553333,2008,3,27,A
39533,5.437762,2008,3,28,A
39534,5.527857,2008,3,29,A
39535,5.437423,2008,3,30,A
39536,5.458333,2008,3,31,A
39537,5.675796,2008,4,1,A
39538,5.784615,2008,4,2,A
39539,6.167059,2008,4,3,A
39540,6.303550,2008,4,4,A
39541,6.247097,2008,4,5,A
39542,6.688636,2008,4,6,A
39543,6.303390,2008,4,7,A
39544,6.577528,2008,4,8,A
39545,6.862842,2008,4,9,A
39546,6.791061,2008,4,10,A
39547,7.171667,2008,4,11,A
39548,7.921429,2008,4,12,A
39549,7.895783,2008,4,13,A
39550,6.982022,2008,4,14,A
39551,6.685714,2008,4,15,A
39552,7.253757,2008,4,16,A
39553,7.387568,2008,4,17,A
39554,7.058523,2008,4,18,A
39555,6.826282,2008,4,19,A
39556,6.746763,2008,4,20,A
39557,6.683529,2008,4,21,A
39558,6.798585,2008,4,22,A
39559,6.662319,2008,4,23,A
39560,6.598204,2008,4,24,A
39561,7.174138,2008,4,25,A
39562,7.815909,2008,4,26,A
39563,8.436757,2008,4,27,A
39564,8.336047,2008,4,28,A
39565,7.507317,2008,4,29,A
39566,6.965294,2008,4,30,A
39567,7.429775,2008,5,1,A
39568,8.055621,2008,5,2,A
39569,8.122652,2008,5,3,A
39570,8.159887,2008,5,4,A
39571,8.921176,2008,5,5,A
39572,8.663636,2008,5,6,A
39573,8.107104,2008,5,7,A
39574,7.816477,2008,5,8,A
39575,8.010119,2008,5,9,A
39576,8.295954,2008,5,10,A
39577,7.600562,2008,5,11,A
39578,7.724096,2008,5,12,A
39579,8.077059,2008,5,13,A
39580,8.355114,2008,5,14,A
39581,8.478882,2008,5,15,A
39582,9.798101,2008,5,16,A
39583,10.017089,2008,5,17,A
39584,9.656024,2008,5,18,A
39585,9.580368,2008,5,19,A
39586,8.552381,2008,5,20,A
39587,7.839241,2008,5,21,A
39588,7.617416,2008,5,22,A
39589,7.563068,2008,5,23,A
39590,7.936310,2008,5,24,A
39591,8.042529,2008,5,25,A
39592,8.071186,2008,5,26,A
39593,8.119209,2008,5,27,A
39594,8.099405,2008,5,28,A
39595,8.201163,2008,5,29,A
39596,8.610651,2008,5,30,A
39597,8.835329,2008,5,31,A
39598,8.584940,2008,6,1,A
39599,8.970930,2008,6,2,A
39600,9.143931,2008,6,3,A
39601,8.743931,2008,6,4,A
39602,8.650877,2008,6,5,A
39603,8.002286,2008,6,6,A
39604,8.317143,2008,6,7,A
39605,8.815625,2008,6,8,A
39606,8.979394,2008,6,9,A
39607,8.317751,2008,6,10,A
39608,8.760556,2008,6,11,A
39609,8.997701,2008,6,12,A
39610,9.595745,2008,6,13,A
39611,9.755963,2008,6,14,A
39612,9.883041,2008,6,15,A
39613,10.116860,2008,6,16,A
39614,10.088000,2008,6,17,A
39615,10.164246,2008,6,18,A
39616,10.391860,2008,6,19,A
39617,10.455294,2008,6,20,A
39618,10.394340,2008,6,21,A
39619,10.494186,2008,6,22,A
39620,10.515909,2008,6,23,A
39621,10.491160,2008,6,24,A
39622,10.521176,2008,6,25,A
39623,10.498333,2008,6,26,A
39624,10.680925,2008,6,27,A
39625,10.883721,2008,6,28,A
39626,11.145946,2008,6,29,A
39627,11.303125,2008,6,30,A
39628,11.198830,2008,7,1,A
39629,11.317683,2008,7,2,A
39630,11.405172,2008,7,3,A
39631,11.376923,2008,7,4,A
39632,11.558197,2008,7,5,A
39633,11.441509,2008,7,6,A
39634,11.431737,2008,7,7,A
39635,11.676829,2008,7,8,A
39636,11.828758,2008,7,9,A
39637,11.750289,2008,7,10,A
39638,11.691379,2008,7,11,A
39639,11.725161,2008,7,12,A
39640,11.861875,2008,7,13,A
39641,11.815217,2008,7,14,A
39642,11.900000,2008,7,15,A
39643,11.804545,2008,7,16,A
39644,11.960465,2008,7,17,A
39645,12.307647,2008,7,18,A
39646,12.682584,2008,7,19,A
39647,13.296532,2008,7,20,A
39648,13.944509,2008,7,21,A
39649,14.475135,2008,7,22,A
39650,15.239888,2008,7,23,A
39651,16.123952,2008,7,24,A
39652,16.914689,2008,7,25,A
39653,17.504545,2008,7,26,A
39654,16.675956,2008,7,27,A
39655,16.044444,2008,7,28,A
39656,15.296610,2008,7,29,A
39657,14.710615,2008,7,30,A
39658,14.396512,2008,7,31,A
39659,13.893827,2008,8,1,A
39660,12.187571,2008,8,2,A
39661,11.463277,2008,8,3,A
39662,11.337107,2008,8,4,A
39663,11.238542,2008,8,5,A
39664,11.190385,2008,8,6,A
39665,11.235256,2008,8,7,A
39666,11.226154,2008,8,8,A
39667,11.193227,2008,8,9,A
39668,11.326482,2008,8,10,A
39669,11.394937,2008,8,11,A
39670,11.456596,2008,8,12,A
39671,11.581250,2008,8,13,A
39672,11.586076,2008,8,14,A
39673,11.691824,2008,8,15,A
39674,11.738710,2008,8,16,A
39675,11.777333,2008,8,17,A
39676,11.614085,2008,8,18,A
39677,11.841212,2008,8,19,A
39678,11.971930,2008,8,20,A
39679,12.267403,2008,8,21,A
39680,12.151220,2008,8,22,A
39681,12.004348,2008,8,23,A
39682,11.926452,2008,8,24,A
39683,11.981928,2008,8,25,A
39684,11.958011,2008,8,26,A
39685,11.897126,2008,8,27,A
39686,11.990066,2008,8,28,A
39687,11.907895,2008,8,29,A
39688,11.779070,2008,8,30,A
39689,11.593421,2008,8,31,A
39690,11.841509,2008,9,1,A
39691,11.804321,2008,9,2,A
39692,11.692357,2008,9,3,A
39693,11.680380,2008,9,4,A
39694,11.568824,2008,9,5,A
39695,11.561635,2008,9,6,A
39696,11.564198,2008,9,7,A
39697,11.393088,2008,9,8,A
39698,11.455300,2008,9,9,A
39699,11.314151,2008,9,10,A
39700,11.348000,2008,9,11,A
39701,11.378453,2008,9,12,A
39702,11.341477,2008,9,13,A
39703,11.318293,2008,9,14,A
39704,11.290419,2008,9,15,A
39705,11.287135,2008,9,16,A
39706,11.275625,2008,9,17,A
39707,11.673099,2008,9,18,A
39708,11.780247,2008,9,19,A
39709,11.634783,2008,9,20,A
39710,11.838251,2008,9,21,A
39711,11.706215,2008,9,22,A
39712,11.654167,2008,9,23,A
39713,11.675610,2008,9,24,A
39714,11.669048,2008,9,25,A
39715,11.124706,2008,9,26,A
39716,11.059429,2008,9,27,A
39717,11.190909,2008,9,28,A
39718,11.049721,2008,9,29,A
39719,11.168421,2008,9,30,A
39720,11.407362,2008,10,1,A
39721,11.178689,2008,10,2,A
39722,11.615172,2008,10,3,A
39723,10.870659,2008,10,4,A
39724,11.329282,2008,10,5,A
39725,11.192045,2008,10,6,A
39726,10.960000,2008,10,7,A
39727,10.773913,2008,10,8,A
39728,10.653107,2008,10,9,A
39729,10.165318,2008,10,10,A
39730,10.038235,2008,10,11,A
39731,10.063934,2008,10,12,A
39732,10.376000,2008,10,13,A
39733,10.164444,2008,10,14,A
39734,10.257647,2008,10,15,A
39735,10.904494,2008,10,16,A
39736,10.643889,2008,10,17,A
39737,10.656497,2008,10,18,A
39738,10.492655,2008,10,19,A
39739,10.806587,2008,10,20,A
39740,10.657396,2008,10,21,A
39741,10.484444,2008,10,22,A
39742,10.640113,2008,10,23,A
39743,10.543103,2008,10,24,A
39744,10.598171,2008,10,25,A
39745,10.657527,2008,10,26,A
39746,10.782682,2008,10,27,A
39747,10.932911,2008,10,28,A
39748,11.071250,2008,10,29,A
39749,11.121469,2008,10,30,A
39750,11.281176,2008,10,31,A
39751,0.000000,2008,11,1,Missing
39752,0.000000,2008,11,2,Missing
39753,11.240268,2008,11,3,A
39754,10.420755,2008,11,4,A
39755,10.275641,2008,11,5,A
39756,10.567097,2008,11,6,A
39757,10.814525,2008,11,7,A
39758,11.074138,2008,11,8,A
39759,11.017935,2008,11,9,A
39760,10.953297,2008,11,10,A
39761,10.730636,2008,11,11,A
39762,10.777027,2008,11,12,A
39763,10.626857,2008,11,13,A
39764,9.667935,2008,11,14,A
39765,9.875429,2008,11,15,A
39766,10.133526,2008,11,16,A
39767,10.413333,2008,11,17,A
39768,10.557895,2008,11,18,A
39769,10.888066,2008,11,19,A
39770,10.722632,2008,11,20,A
39771,10.321667,2008,11,21,A
39772,10.484444,2008,11,22,A
39773,9.914754,2008,11,23,A
39774,9.448485,2008,11,24,A
39775,9.464516,2008,11,25,A
39776,9.488268,2008,11,26,A
39777,9.208571,2008,11,27,A
39778,9.598901,2008,11,28,A
39779,9.934066,2008,11,29,A
39780,9.819780,2008,11,30,A
39781,9.651648,2008,12,1,A
39782,9.839130,2008,12,2,A
39783,9.902762,2008,12,3,A
39784,9.674194,2008,12,4,A
39785,9.133149,2008,12,5,A
39786,8.797778,2008,12,6,A
39787,8.745109,2008,12,7,A
39788,8.769730,2008,12,8,A
39789,8.434426,2008,12,9,A
39790,8.326966,2008,12,10,A
39791,8.320219,2008,12,11,A
39792,8.259394,2008,12,12,A
39793,7.706849,2008,12,13,A
39794,7.423214,2008,12,14,A
39795,6.612791,2008,12,15,A
39796,6.216800,2008,12,16,A
39797,5.886131,2008,12,17,A
