;# ---------------------------------- WARNING ----------------------------------------
;# Some of the data that you have obtained from this U.S. Geological Survey database
;# may not have received Director's approval. Any such data values are qualified
;# as provisional and are subject to revision. Provisional data are released on the
;# condition that neither the USGS nor the United States Government may be held liable
;# for any damages resulting from its use.
;#
;# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
;#
;# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
;# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
;#
;# Contact:   gs-w_support_nwisweb@usgs.gov
;# retrieved: 2021-04-06 15:13:42 EDT       (nadww02)
;#
;# Data for the following 1 site(s) are contained in this file
;#    USGS 14185000 SOUTH SANTIAM RIVER BELOW CASCADIA, OR
;# -----------------------------------------------------------------------------------
;#
;# Data provided for site 14185000
;#            TS   parameter     Description
;#        117103       00010     Temperature, water, degrees Celsius
;#
;# Data-value qualification codes included in this output:
;#     A  Approved for publication -- Processing and review completed.
;#     P  Provisional data subject to revision.
;# 
;USGS 14185000_temp_SOUTH SANTIAM RIVER BELOW CASCADIA, OR_23785793 
day_index,temp_C,Year,Month,Day,Quality
39748,8.443750,2008,10,29,A
39749,8.547917,2008,10,30,A
39750,9.439583,2008,10,31,A
39751,10.487500,2008,11,1,A
39752,10.624000,2008,11,2,A
39753,9.812500,2008,11,3,A
39754,8.433333,2008,11,4,A
39755,7.541667,2008,11,5,A
39756,8.329167,2008,11,6,A
39757,8.679167,2008,11,7,A
39758,8.985417,2008,11,8,A
39759,8.768750,2008,11,9,A
39760,8.558333,2008,11,10,A
39761,8.320833,2008,11,11,A
39762,9.554167,2008,11,12,A
39763,9.427083,2008,11,13,A
39764,7.639583,2008,11,14,A
39765,7.564583,2008,11,15,A
39766,7.800000,2008,11,16,A
39767,8.104167,2008,11,17,A
39768,8.202083,2008,11,18,A
39769,8.410417,2008,11,19,A
39770,8.027083,2008,11,20,A
39771,6.812500,2008,11,21,A
39772,7.052083,2008,11,22,A
39773,5.518750,2008,11,23,A
39774,5.310417,2008,11,24,A
39775,5.931250,2008,11,25,A
39776,6.552083,2008,11,26,A
39777,5.737500,2008,11,27,A
39778,6.920833,2008,11,28,A
39779,7.841667,2008,11,29,A
39780,7.362500,2008,11,30,A
39781,6.656250,2008,12,1,A
39782,7.752083,2008,12,2,A
39783,7.105634,2008,12,3,A
39784,5.777083,2008,12,4,A
