# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:25 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14157500 COAST FORK WILLAMETTE RIVER NEAR GOSHEN, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14157500
#            TS   parameter     statistic     Description
#        113722       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113722_00060_00003	113722_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14157500	2010-01-01	5840	A
USGS	14157500	2010-01-02	4840	A
USGS	14157500	2010-01-03	3670	A
USGS	14157500	2010-01-04	3380	A
USGS	14157500	2010-01-05	4200	A
USGS	14157500	2010-01-06	4800	A
USGS	14157500	2010-01-07	4800	A
USGS	14157500	2010-01-08	4300	A
USGS	14157500	2010-01-09	3900	A
USGS	14157500	2010-01-10	3080	A
USGS	14157500	2010-01-11	2350	A
USGS	14157500	2010-01-12	1900	A
USGS	14157500	2010-01-13	1920	A
USGS	14157500	2010-01-14	2030	A
USGS	14157500	2010-01-15	1770	A
USGS	14157500	2010-01-16	2160	A
USGS	14157500	2010-01-17	2780	A
USGS	14157500	2010-01-18	2580	A
USGS	14157500	2010-01-19	2220	A
USGS	14157500	2010-01-20	1920	A
USGS	14157500	2010-01-21	1570	A
USGS	14157500	2010-01-22	1180	A
USGS	14157500	2010-01-23	964	A
USGS	14157500	2010-01-24	808	A
USGS	14157500	2010-01-25	1250	A
USGS	14157500	2010-01-26	1210	A
USGS	14157500	2010-01-27	1130	A
USGS	14157500	2010-01-28	1000	A
USGS	14157500	2010-01-29	903	A
USGS	14157500	2010-01-30	1040	A
USGS	14157500	2010-01-31	1080	A
USGS	14157500	2010-02-01	1080	A
USGS	14157500	2010-02-02	1260	A
USGS	14157500	2010-02-03	1430	A
USGS	14157500	2010-02-04	1390	A
USGS	14157500	2010-02-05	1360	A
USGS	14157500	2010-02-06	1280	A
USGS	14157500	2010-02-07	1210	A
USGS	14157500	2010-02-08	1060	A
USGS	14157500	2010-02-09	764	A
USGS	14157500	2010-02-10	724	A
USGS	14157500	2010-02-11	715	A
USGS	14157500	2010-02-12	942	A
USGS	14157500	2010-02-13	946	A
USGS	14157500	2010-02-14	927	A
USGS	14157500	2010-02-15	979	A
USGS	14157500	2010-02-16	1070	A
USGS	14157500	2010-02-17	964	A
USGS	14157500	2010-02-18	888	A
USGS	14157500	2010-02-19	820	A
USGS	14157500	2010-02-20	765	A
USGS	14157500	2010-02-21	705	A
USGS	14157500	2010-02-22	655	A
USGS	14157500	2010-02-23	583	A
USGS	14157500	2010-02-24	755	A
USGS	14157500	2010-02-25	932	A
USGS	14157500	2010-02-26	1020	A
USGS	14157500	2010-02-27	1060	A
USGS	14157500	2010-02-28	884	A
USGS	14157500	2010-03-01	783	A
USGS	14157500	2010-03-02	732	A
USGS	14157500	2010-03-03	725	A
USGS	14157500	2010-03-04	781	A
USGS	14157500	2010-03-05	742	A
USGS	14157500	2010-03-06	664	A
USGS	14157500	2010-03-07	620	A
USGS	14157500	2010-03-08	670	A
USGS	14157500	2010-03-09	645	A
USGS	14157500	2010-03-10	656	A
USGS	14157500	2010-03-11	647	A
USGS	14157500	2010-03-12	1300	A
USGS	14157500	2010-03-13	1980	A
USGS	14157500	2010-03-14	1410	A
USGS	14157500	2010-03-15	1140	A
USGS	14157500	2010-03-16	976	A
USGS	14157500	2010-03-17	851	A
USGS	14157500	2010-03-18	751	A
USGS	14157500	2010-03-19	685	A
USGS	14157500	2010-03-20	631	A
USGS	14157500	2010-03-21	604	A
USGS	14157500	2010-03-22	631	A
USGS	14157500	2010-03-23	612	A
USGS	14157500	2010-03-24	584	A
USGS	14157500	2010-03-25	643	A
USGS	14157500	2010-03-26	1460	A
USGS	14157500	2010-03-27	2780	A
USGS	14157500	2010-03-28	2600	A
USGS	14157500	2010-03-29	4290	A
USGS	14157500	2010-03-30	6990	A
USGS	14157500	2010-03-31	6830	A
USGS	14157500	2010-04-01	6700	A
USGS	14157500	2010-04-02	6640	A
USGS	14157500	2010-04-03	7380	A
USGS	14157500	2010-04-04	6400	A
USGS	14157500	2010-04-05	5180	A
USGS	14157500	2010-04-06	4100	A
USGS	14157500	2010-04-07	3020	A
USGS	14157500	2010-04-08	2610	A
USGS	14157500	2010-04-09	2350	A
USGS	14157500	2010-04-10	1760	A
USGS	14157500	2010-04-11	2400	A
USGS	14157500	2010-04-12	2200	A
USGS	14157500	2010-04-13	2050	A
USGS	14157500	2010-04-14	1860	A
USGS	14157500	2010-04-15	1790	A
USGS	14157500	2010-04-16	1250	A
USGS	14157500	2010-04-17	999	A
USGS	14157500	2010-04-18	893	A
USGS	14157500	2010-04-19	965	A
USGS	14157500	2010-04-20	2100	A
USGS	14157500	2010-04-21	2400	A
USGS	14157500	2010-04-22	2270	A
USGS	14157500	2010-04-23	2020	A
USGS	14157500	2010-04-24	1630	A
USGS	14157500	2010-04-25	1420	A
USGS	14157500	2010-04-26	1240	A
USGS	14157500	2010-04-27	3620	A
USGS	14157500	2010-04-28	5480	A
USGS	14157500	2010-04-29	5170	A
USGS	14157500	2010-04-30	4930	A
USGS	14157500	2010-05-01	3840	A
USGS	14157500	2010-05-02	3450	A
USGS	14157500	2010-05-03	3040	A
USGS	14157500	2010-05-04	2500	A
USGS	14157500	2010-05-05	2230	A
USGS	14157500	2010-05-06	1540	A
USGS	14157500	2010-05-07	1170	A
USGS	14157500	2010-05-08	1090	A
