# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:15 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14150000 MIDDLE FORK WILLAMETTE RIVER NEAR DEXTER, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14150000
#            TS   parameter     statistic     Description
#        113647       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113647_00060_00003	113647_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14150000	2010-01-01	2700	A
USGS	14150000	2010-01-02	4020	A
USGS	14150000	2010-01-03	4280	A
USGS	14150000	2010-01-04	4310	A
USGS	14150000	2010-01-05	5690	A
USGS	14150000	2010-01-06	7750	A
USGS	14150000	2010-01-07	8540	A
USGS	14150000	2010-01-08	9170	A
USGS	14150000	2010-01-09	9840	A
USGS	14150000	2010-01-10	9500	A
USGS	14150000	2010-01-11	9390	A
USGS	14150000	2010-01-12	8560	A
USGS	14150000	2010-01-13	7230	A
USGS	14150000	2010-01-14	5180	A
USGS	14150000	2010-01-15	3160	A
USGS	14150000	2010-01-16	1930	A
USGS	14150000	2010-01-17	1360	A
USGS	14150000	2010-01-18	1480	A
USGS	14150000	2010-01-19	1520	A
USGS	14150000	2010-01-20	2070	A
USGS	14150000	2010-01-21	3110	A
USGS	14150000	2010-01-22	3050	A
USGS	14150000	2010-01-23	3190	A
USGS	14150000	2010-01-24	2780	A
USGS	14150000	2010-01-25	2950	A
USGS	14150000	2010-01-26	2960	A
USGS	14150000	2010-01-27	2920	A
USGS	14150000	2010-01-28	2640	A
USGS	14150000	2010-01-29	2300	A
USGS	14150000	2010-01-30	1930	A
USGS	14150000	2010-01-31	1690	A
USGS	14150000	2010-02-01	1680	A
USGS	14150000	2010-02-02	1670	A
USGS	14150000	2010-02-03	1700	A
USGS	14150000	2010-02-04	1800	A
USGS	14150000	2010-02-05	1550	A
USGS	14150000	2010-02-06	1360	A
USGS	14150000	2010-02-07	1360	A
USGS	14150000	2010-02-08	1240	A
USGS	14150000	2010-02-09	1260	A
USGS	14150000	2010-02-10	1270	A
USGS	14150000	2010-02-11	1280	A
USGS	14150000	2010-02-12	1300	A
USGS	14150000	2010-02-13	1310	A
USGS	14150000	2010-02-14	1310	A
USGS	14150000	2010-02-15	1290	A
USGS	14150000	2010-02-16	1330	A
