# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:19 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14205400 EAST FORK DAIRY CREEK NEAR MEACHAM CORNER, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14205400
#            TS   parameter     statistic     Description
#        114211       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114211_00060_00003	114211_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14205400	2010-01-01	200	A
USGS	14205400	2010-01-02	223	A
USGS	14205400	2010-01-03	200	A
USGS	14205400	2010-01-04	211	A
USGS	14205400	2010-01-05	208	A
USGS	14205400	2010-01-06	185	A
USGS	14205400	2010-01-07	154	A
USGS	14205400	2010-01-08	162	A
USGS	14205400	2010-01-09	171	A
USGS	14205400	2010-01-10	157	A
USGS	14205400	2010-01-11	178	A
USGS	14205400	2010-01-12	203	A
USGS	14205400	2010-01-13	235	A
USGS	14205400	2010-01-14	249	A
USGS	14205400	2010-01-15	268	A
USGS	14205400	2010-01-16	315	A
USGS	14205400	2010-01-17	345	A:e
USGS	14205400	2010-01-18	440	A:e
USGS	14205400	2010-01-19	390	A:e
USGS	14205400	2010-01-20	330	A:e
USGS	14205400	2010-01-21	280	A:e
USGS	14205400	2010-01-22	240	A:e
USGS	14205400	2010-01-23	200	A:e
USGS	14205400	2010-01-24	197	A
USGS	14205400	2010-01-25	241	A
USGS	14205400	2010-01-26	210	A:e
USGS	14205400	2010-01-27	190	A:e
USGS	14205400	2010-01-28	175	A
USGS	14205400	2010-01-29	163	A
USGS	14205400	2010-01-30	150	A:e
USGS	14205400	2010-01-31	140	A:e
USGS	14205400	2010-02-01	135	A:e
USGS	14205400	2010-02-02	125	A:e
USGS	14205400	2010-02-03	115	A:e
USGS	14205400	2010-02-04	120	A:e
USGS	14205400	2010-02-05	125	A:e
USGS	14205400	2010-02-06	120	A:e
USGS	14205400	2010-02-07	110	A:e
USGS	14205400	2010-02-08	105	A:e
USGS	14205400	2010-02-09	100	A:e
USGS	14205400	2010-02-10	100	A:e
USGS	14205400	2010-02-11	104	A
USGS	14205400	2010-02-12	131	A
USGS	14205400	2010-02-13	142	A
USGS	14205400	2010-02-14	152	A
USGS	14205400	2010-02-15	150	A
USGS	14205400	2010-02-16	163	A
USGS	14205400	2010-02-17	153	A
USGS	14205400	2010-02-18	148	A
USGS	14205400	2010-02-19	139	A
USGS	14205400	2010-02-20	127	A
USGS	14205400	2010-02-21	116	A
USGS	14205400	2010-02-22	106	A
USGS	14205400	2010-02-23	105	A
USGS	14205400	2010-02-24	107	A
USGS	14205400	2010-02-25	96.4	A
USGS	14205400	2010-02-26	142	A
USGS	14205400	2010-02-27	149	A
USGS	14205400	2010-02-28	145	A
USGS	14205400	2010-03-01	137	A
USGS	14205400	2010-03-02	130	A
USGS	14205400	2010-03-03	123	A
USGS	14205400	2010-03-04	113	A
USGS	14205400	2010-03-05	103	A
USGS	14205400	2010-03-06	96.6	A
USGS	14205400	2010-03-07	92.1	A
USGS	14205400	2010-03-08	88.6	A
USGS	14205400	2010-03-09	88.3	A
USGS	14205400	2010-03-10	90.6	A
USGS	14205400	2010-03-11	110	A
USGS	14205400	2010-03-12	225	A
USGS	14205400	2010-03-13	259	A
USGS	14205400	2010-03-14	239	A
USGS	14205400	2010-03-15	210	A
USGS	14205400	2010-03-16	183	A
USGS	14205400	2010-03-17	157	A
USGS	14205400	2010-03-18	142	A
USGS	14205400	2010-03-19	130	A
USGS	14205400	2010-03-20	119	A
USGS	14205400	2010-03-21	112	A
USGS	14205400	2010-03-22	104	A
USGS	14205400	2010-03-23	97.0	A
USGS	14205400	2010-03-24	92.1	A
USGS	14205400	2010-03-25	110	A
USGS	14205400	2010-03-26	129	A
USGS	14205400	2010-03-27	114	A
USGS	14205400	2010-03-28	129	A
USGS	14205400	2010-03-29	198	A
USGS	14205400	2010-03-30	280	A
USGS	14205400	2010-03-31	279	A
USGS	14205400	2010-04-01	246	A
USGS	14205400	2010-04-02	270	A
USGS	14205400	2010-04-03	320	A:e
USGS	14205400	2010-04-04	340	A:e
USGS	14205400	2010-04-05	325	A:e
USGS	14205400	2010-04-06	336	A
USGS	14205400	2010-04-07	315	A
USGS	14205400	2010-04-08	295	A
USGS	14205400	2010-04-09	255	A
USGS	14205400	2010-04-10	228	A
USGS	14205400	2010-04-11	205	A
USGS	14205400	2010-04-12	210	A
USGS	14205400	2010-04-13	182	A
USGS	14205400	2010-04-14	166	A
USGS	14205400	2010-04-15	160	A
USGS	14205400	2010-04-16	146	A
USGS	14205400	2010-04-17	135	A
USGS	14205400	2010-04-18	126	A
USGS	14205400	2010-04-19	119	A
USGS	14205400	2010-04-20	114	A
USGS	14205400	2010-04-21	105	A
USGS	14205400	2010-04-22	98.2	A
USGS	14205400	2010-04-23	93.0	A
USGS	14205400	2010-04-24	88.5	A
USGS	14205400	2010-04-25	83.6	A
USGS	14205400	2010-04-26	92.7	A
USGS	14205400	2010-04-27	147	A
USGS	14205400	2010-04-28	122	A
USGS	14205400	2010-04-29	116	A
USGS	14205400	2010-04-30	111	A
USGS	14205400	2010-05-01	107	A
USGS	14205400	2010-05-02	99.9	A
USGS	14205400	2010-05-03	108	A
USGS	14205400	2010-05-04	106	A
USGS	14205400	2010-05-05	104	A
USGS	14205400	2010-05-06	99.0	A
USGS	14205400	2010-05-07	96.5	A
USGS	14205400	2010-05-08	92.9	A
USGS	14205400	2010-05-09	88.4	A
USGS	14205400	2010-05-10	87.6	A
USGS	14205400	2010-05-11	80.3	A
USGS	14205400	2010-05-12	75.6	A
USGS	14205400	2010-05-13	72.2	A
USGS	14205400	2010-05-14	68.9	A
USGS	14205400	2010-05-15	65.9	A
USGS	14205400	2010-05-16	63.4	A
USGS	14205400	2010-05-17	63.1	A
USGS	14205400	2010-05-18	64.4	A
USGS	14205400	2010-05-19	67.2	A
USGS	14205400	2010-05-20	77.7	A
USGS	14205400	2010-05-21	84.0	A
USGS	14205400	2010-05-22	82.9	A
USGS	14205400	2010-05-23	78.0	A
USGS	14205400	2010-05-24	75.4	A
USGS	14205400	2010-05-25	75.6	A
USGS	14205400	2010-05-26	76.9	A
