# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:03 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14187500 SOUTH SANTIAM RIVER AT WATERLOO, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14187500
#            TS   parameter     statistic     Description
#        114080       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114080_00060_00003	114080_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14187500	2010-01-01	7580	A
USGS	14187500	2010-01-02	8200	A
USGS	14187500	2010-01-03	7370	A
USGS	14187500	2010-01-04	5900	A
USGS	14187500	2010-01-05	7880	A
USGS	14187500	2010-01-06	10400	A
USGS	14187500	2010-01-07	10400	A
USGS	14187500	2010-01-08	9970	A
USGS	14187500	2010-01-09	9290	A
USGS	14187500	2010-01-10	8750	A
USGS	14187500	2010-01-11	7280	A
USGS	14187500	2010-01-12	6770	A
USGS	14187500	2010-01-13	6880	A
USGS	14187500	2010-01-14	5670	A
USGS	14187500	2010-01-15	4390	A
USGS	14187500	2010-01-16	3830	A
USGS	14187500	2010-01-17	4130	A
USGS	14187500	2010-01-18	4170	A
USGS	14187500	2010-01-19	3820	A
USGS	14187500	2010-01-20	3480	A
USGS	14187500	2010-01-21	3290	A
USGS	14187500	2010-01-22	2740	A
USGS	14187500	2010-01-23	2630	A
USGS	14187500	2010-01-24	2630	A
USGS	14187500	2010-01-25	2820	A
USGS	14187500	2010-01-26	2760	A
USGS	14187500	2010-01-27	2500	A
USGS	14187500	2010-01-28	2360	A
USGS	14187500	2010-01-29	2220	A
USGS	14187500	2010-01-30	2090	A
USGS	14187500	2010-01-31	2090	A
USGS	14187500	2010-02-01	2110	A
USGS	14187500	2010-02-02	2180	A
USGS	14187500	2010-02-03	2180	A
USGS	14187500	2010-02-04	2290	A
USGS	14187500	2010-02-05	2330	A
USGS	14187500	2010-02-06	1980	A
USGS	14187500	2010-02-07	1620	A
USGS	14187500	2010-02-08	1400	A
USGS	14187500	2010-02-09	1370	A
USGS	14187500	2010-02-10	1240	A
USGS	14187500	2010-02-11	1130	A
USGS	14187500	2010-02-12	1320	A
USGS	14187500	2010-02-13	1320	A
USGS	14187500	2010-02-14	1300	A
USGS	14187500	2010-02-15	1280	A
USGS	14187500	2010-02-16	1350	A
USGS	14187500	2010-02-17	1310	A
USGS	14187500	2010-02-18	1260	A
USGS	14187500	2010-02-19	1190	A
USGS	14187500	2010-02-20	1110	A
USGS	14187500	2010-02-21	1070	A
USGS	14187500	2010-02-22	1050	A
USGS	14187500	2010-02-23	1050	A
USGS	14187500	2010-02-24	1120	A
USGS	14187500	2010-02-25	1140	A
USGS	14187500	2010-02-26	1180	A
USGS	14187500	2010-02-27	1180	A
USGS	14187500	2010-02-28	1120	A
USGS	14187500	2010-03-01	1080	A
USGS	14187500	2010-03-02	1270	A
USGS	14187500	2010-03-03	1050	A
USGS	14187500	2010-03-04	1060	A
USGS	14187500	2010-03-05	1040	A
USGS	14187500	2010-03-06	1040	A
USGS	14187500	2010-03-07	1030	A
USGS	14187500	2010-03-08	1060	A
USGS	14187500	2010-03-09	1030	A
USGS	14187500	2010-03-10	1030	A
USGS	14187500	2010-03-11	1040	A
USGS	14187500	2010-03-12	1420	A
USGS	14187500	2010-03-13	1500	A
USGS	14187500	2010-03-14	1350	A
USGS	14187500	2010-03-15	1260	A
USGS	14187500	2010-03-16	1220	A
USGS	14187500	2010-03-17	1300	A
USGS	14187500	2010-03-18	1240	A
USGS	14187500	2010-03-19	1230	A
USGS	14187500	2010-03-20	1210	A
USGS	14187500	2010-03-21	1260	A
USGS	14187500	2010-03-22	1260	A
USGS	14187500	2010-03-23	1220	A
USGS	14187500	2010-03-24	1220	A
USGS	14187500	2010-03-25	1290	A
USGS	14187500	2010-03-26	1660	A
USGS	14187500	2010-03-27	1470	A
USGS	14187500	2010-03-28	1430	A
USGS	14187500	2010-03-29	4780	A
USGS	14187500	2010-03-30	8400	A
USGS	14187500	2010-03-31	5780	A
USGS	14187500	2010-04-01	5430	A
USGS	14187500	2010-04-02	6320	A
USGS	14187500	2010-04-03	5970	A
USGS	14187500	2010-04-04	5290	A
USGS	14187500	2010-04-05	4530	A
USGS	14187500	2010-04-06	4110	A
USGS	14187500	2010-04-07	4190	A
USGS	14187500	2010-04-08	4770	A
USGS	14187500	2010-04-09	5010	A
USGS	14187500	2010-04-10	4500	A
USGS	14187500	2010-04-11	3580	A
USGS	14187500	2010-04-12	2960	A
USGS	14187500	2010-04-13	2820	A
USGS	14187500	2010-04-14	3410	A
USGS	14187500	2010-04-15	3940	A
USGS	14187500	2010-04-16	3680	A
USGS	14187500	2010-04-17	2990	A
USGS	14187500	2010-04-18	3020	A
USGS	14187500	2010-04-19	2820	A
USGS	14187500	2010-04-20	3600	A
USGS	14187500	2010-04-21	4770	A
USGS	14187500	2010-04-22	4660	A
USGS	14187500	2010-04-23	3860	A
USGS	14187500	2010-04-24	3720	A
USGS	14187500	2010-04-25	3080	A
USGS	14187500	2010-04-26	3310	A
USGS	14187500	2010-04-27	4840	A
USGS	14187500	2010-04-28	5580	A
USGS	14187500	2010-04-29	5590	A
USGS	14187500	2010-04-30	5730	A
USGS	14187500	2010-05-01	4850	A
USGS	14187500	2010-05-02	4500	A
USGS	14187500	2010-05-03	4770	A
USGS	14187500	2010-05-04	6180	A
USGS	14187500	2010-05-05	6140	A
USGS	14187500	2010-05-06	5240	A
USGS	14187500	2010-05-07	3760	A
USGS	14187500	2010-05-08	3370	A
USGS	14187500	2010-05-09	3070	A
USGS	14187500	2010-05-10	3110	A
USGS	14187500	2010-05-11	3020	A
USGS	14187500	2010-05-12	3240	A
USGS	14187500	2010-05-13	2960	A
USGS	14187500	2010-05-14	3020	A
USGS	14187500	2010-05-15	2810	A
USGS	14187500	2010-05-16	2440	A
USGS	14187500	2010-05-17	2400	A
USGS	14187500	2010-05-18	2450	A
USGS	14187500	2010-05-19	2600	A
USGS	14187500	2010-05-20	2390	A
USGS	14187500	2010-05-21	1880	A
USGS	14187500	2010-05-22	1860	A
USGS	14187500	2010-05-23	1890	A
USGS	14187500	2010-05-24	1870	A
USGS	14187500	2010-05-25	1820	A
USGS	14187500	2010-05-26	2450	A
USGS	14187500	2010-05-27	3850	A
USGS	14187500	2010-05-28	3580	A
USGS	14187500	2010-05-29	3170	A
USGS	14187500	2010-05-30	2880	A
USGS	14187500	2010-05-31	3060	A
USGS	14187500	2010-06-01	3580	A
USGS	14187500	2010-06-02	8900	A
USGS	14187500	2010-06-03	14700	A
USGS	14187500	2010-06-04	15000	A
USGS	14187500	2010-06-05	13700	A
USGS	14187500	2010-06-06	10200	A
USGS	14187500	2010-06-07	7430	A
USGS	14187500	2010-06-08	6150	A
USGS	14187500	2010-06-09	5950	A
USGS	14187500	2010-06-10	5980	A
USGS	14187500	2010-06-11	5840	A
USGS	14187500	2010-06-12	5250	A
USGS	14187500	2010-06-13	4530	A
USGS	14187500	2010-06-14	4360	A
USGS	14187500	2010-06-15	4020	A
USGS	14187500	2010-06-16	2980	A
USGS	14187500	2010-06-17	2720	A
USGS	14187500	2010-06-18	2550	A
USGS	14187500	2010-06-19	2280	A
USGS	14187500	2010-06-20	2060	A
USGS	14187500	2010-06-21	1860	A
