# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:50:24 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14155500 ROW RIVER NEAR COTTAGE GROVE, OR
# -----------------------------------------------------------------------------------
#
# Data provided for site 14155500
#            TS   parameter     statistic     Description
#        113712       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	113712_00060_00003	113712_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14155500	2010-01-01	1420	A
USGS	14155500	2010-01-02	1630	A
USGS	14155500	2010-01-03	1640	A
USGS	14155500	2010-01-04	1930	A
USGS	14155500	2010-01-05	2470	A
USGS	14155500	2010-01-06	2560	A
USGS	14155500	2010-01-07	2720	A
USGS	14155500	2010-01-08	2630	A
USGS	14155500	2010-01-09	2390	A
USGS	14155500	2010-01-10	1900	A
USGS	14155500	2010-01-11	1270	A
USGS	14155500	2010-01-12	789	A
USGS	14155500	2010-01-13	704	A
USGS	14155500	2010-01-14	709	A
USGS	14155500	2010-01-15	678	A
USGS	14155500	2010-01-16	665	A
USGS	14155500	2010-01-17	872	A
USGS	14155500	2010-01-18	880	A
USGS	14155500	2010-01-19	869	A
USGS	14155500	2010-01-20	763	A
USGS	14155500	2010-01-21	576	A
USGS	14155500	2010-01-22	401	A
USGS	14155500	2010-01-23	295	A
USGS	14155500	2010-01-24	237	A
USGS	14155500	2010-01-25	242	A
USGS	14155500	2010-01-26	252	A
USGS	14155500	2010-01-27	259	A
