# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-06-20 16:51:26 EDT       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 14209000 OAK GROVE FORK ABOVE POWERPLANT INTAKE, OR.
# -----------------------------------------------------------------------------------
#
# Data provided for site 14209000
#            TS   parameter     statistic     Description
#        114292       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	114292_00060_00003	114292_00060_00003_cd
5s	15s	20d	14n	10s
USGS	14209000	2010-01-01	521	A
USGS	14209000	2010-01-02	518	A
USGS	14209000	2010-01-03	481	A
USGS	14209000	2010-01-04	476	A
USGS	14209000	2010-01-05	720	A
USGS	14209000	2010-01-06	799	A
USGS	14209000	2010-01-07	670	A
USGS	14209000	2010-01-08	645	A
USGS	14209000	2010-01-09	637	A
USGS	14209000	2010-01-10	642	A
USGS	14209000	2010-01-11	656	A
USGS	14209000	2010-01-12	654	A
USGS	14209000	2010-01-13	658	A
USGS	14209000	2010-01-14	645	A
USGS	14209000	2010-01-15	641	A
USGS	14209000	2010-01-16	672	A
USGS	14209000	2010-01-17	680	A
USGS	14209000	2010-01-18	657	A
USGS	14209000	2010-01-19	641	A
USGS	14209000	2010-01-20	619	A
USGS	14209000	2010-01-21	599	A
USGS	14209000	2010-01-22	584	A
USGS	14209000	2010-01-23	562	A
USGS	14209000	2010-01-24	527	A
USGS	14209000	2010-01-25	548	A
USGS	14209000	2010-01-26	522	A
USGS	14209000	2010-01-27	487	A
